ORCID,author_position,corresponding_author,pub_date,DOI,already_oa,oa_status,issn,source,publisher,policy_uri,submitted_oa_policy,accepted_oa_policy,published_oa_policy
https://orcid.org/0000-0001-5038-8355,first,none,2025-03-31,https://doi.org/10.1177/20530196251315454,no,closed,2053-0196,The Anthropocene Review,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/31211,None,None,None
https://orcid.org/0000-0001-9068-401X,first,https://orcid.org/0000-0003-3679-9726,2025-01-06,https://doi.org/10.1007/s11356-024-35787-1,no,closed,0944-1344,Environmental Science and Pollution Research,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/7949,None,None,None
,first,none,2025-01-13,https://doi.org/10.1139/apnm-2024-0302,no,closed,1715-5312,Applied Physiology Nutrition and Metabolism,NRC Research Press,https://v2.sherpa.ac.uk/id/publication/10122,8195:fee_no:no conditions;,3875:fee_no:Publisher copyright and source must be acknowledged Author's archived version must not be amended once its accepted for publication Must link to publisher version;,None
https://orcid.org/0000-0001-9699-9098,first,https://orcid.org/0000-0001-9699-9098,2025-01-23,https://doi.org/10.1177/19485506241305698,no,closed,1948-5506,Social Psychological and Personality Science,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9475,None,None,None
https://orcid.org/0000-0002-6222-7863,last,none,2025-01-29,https://doi.org/10.1002/csr.3141,no,closed,1535-3958,Corporate Social Responsibility and Environmental Management,Wiley,https://v2.sherpa.ac.uk/id/publication/7432,11212:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11213:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0002-9757-2771,middle,none,2025-01-01,https://doi.org/10.1093/abm/kaaf002,no,closed,0883-6612,Annals of Behavioral Medicine,Oxford University Press,https://v2.sherpa.ac.uk/id/publication/13071,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
https://orcid.org/0000-0002-6293-4197,first,https://orcid.org/0000-0002-8038-300X,2025-02-03,https://doi.org/10.1111/dar.14010,yes,hybrid,0959-5236,Drug and Alcohol Review,Wiley,https://v2.sherpa.ac.uk/id/publication/6781,11219:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11220:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);11221:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
https://orcid.org/0000-0002-4989-5058,middle,https://orcid.org/0000-0003-2526-1197,2025-02-21,https://doi.org/10.1001/jamahealthforum.2024.5581,yes,gold,2689-0186,JAMA Health Forum,American Medical Association,https://v2.sherpa.ac.uk/id/publication/39406,None,None,None
https://orcid.org/0000-0003-0958-7728,last,https://orcid.org/0000-0001-5322-3038,2025-02-26,https://doi.org/10.3390/microorganisms13030511,yes,gold,2076-2607,Microorganisms,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/24814,None,None,None
https://orcid.org/0000-0002-6293-4197,first,https://orcid.org/0000-0002-6293-4197,2025-03-07,https://doi.org/10.1159/000544104,yes,hybrid,1022-6877,European Addiction Research,Karger Publishers,https://v2.sherpa.ac.uk/id/publication/9000,9077:fee_no:Set statement to accompany deposit;,9078:fee_no:no conditions;,None
https://orcid.org/0000-0002-6591-6760,middle,none,2024-10-01,https://doi.org/10.1111/gcb.17517,yes,hybrid,1354-1013,Global Change Biology,Wiley,https://v2.sherpa.ac.uk/id/publication/7003,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
,first,,2024-07-27,https://doi.org/10.1177/02734753241266170,yes,hybrid,0273-4753,Journal of Marketing Education,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9313,None,None,None
https://orcid.org/0000-0002-1833-2746,middle,https://orcid.org/0000-0002-5652-1687,2025-01-05,https://doi.org/10.1111/acel.14425,yes,gold,1474-9718,Aging Cell,Wiley,https://v2.sherpa.ac.uk/id/publication/80,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
https://orcid.org/0000-0002-2580-5361,middle,https://orcid.org/0000-0002-9208-9975,2025-01-16,https://doi.org/10.1007/s11625-024-01607-1,no,closed,1862-4057,Sustainability Science,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/17471,None,None,None
https://orcid.org/0000-0002-5516-4542,first,https://orcid.org/0000-0002-4333-6909,2025-01-24,https://doi.org/10.3390/molecules30030535,yes,gold,1420-3049,Molecules,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/19458,None,None,None
,first,none,2025-01-01,https://doi.org/10.1016/j.bbadis.2025.167694,yes,hybrid,0925-4439,Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/12433,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-3913-9961,first,none,2025-01-27,https://doi.org/10.1093/geront/gnaf012,no,closed,0016-9013,The Gerontologist,Oxford University Press,https://v2.sherpa.ac.uk/id/publication/725,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
https://orcid.org/0000-0001-6019-5522,middle,https://orcid.org/0000-0001-9913-2895,2025-02-07,https://doi.org/10.3390/urbansci9020037,yes,gold,2413-8851,Urban Science,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/33267,None,None,None
https://orcid.org/0000-0002-0530-1860,first,none,2025-01-01,https://doi.org/10.1123/ssj.2024-0150,no,closed,0741-1235,Sociology of Sport Journal,Human Kinetics,https://v2.sherpa.ac.uk/id/publication/12265,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0001-7057-5860,first,none,2025-02-17,https://doi.org/10.1080/09518398.2025.2452633,no,closed,0951-8398,International Journal of Qualitative Studies in Education,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/5432,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0002-1649-2834,last,https://orcid.org/0000-0002-8056-6682,2025-02-19,https://doi.org/10.1177/15407969251319255,no,closed,1540-7969,Research and Practice for Persons with Severe Disabilities,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/35709,None,None,None
https://orcid.org/0000-0002-4968-8550,first,none,2025-02-01,https://doi.org/10.1016/j.neuint.2025.105952,yes,hybrid,0197-0186,Neurochemistry International,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/12841,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-3913-9961,first,none,2025-02-01,https://doi.org/10.1016/j.inpsyc.2025.100052,yes,hybrid,1041-6102,International Psychogeriatrics,Cambridge University Press,None,None,None,None
https://orcid.org/0000-0001-9583-4582,last,https://orcid.org/0000-0002-1262-2427,2025-02-25,https://doi.org/10.3390/children12030281,yes,gold,2227-9067,Children,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/25580,None,None,None
https://orcid.org/0000-0002-4214-8543,last,https://orcid.org/0000-0002-4214-8543,2025-03-04,https://doi.org/10.1007/s00421-025-05728-y,yes,hybrid,1439-6319,European Journal of Applied Physiology,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/28234,None,None,None
https://orcid.org/0000-0002-8147-4376,first,none,2025-03-11,https://doi.org/10.1016/j.neuropharm.2025.110409,yes,hybrid,0028-3908,Neuropharmacology,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/4662,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-0833-2133,first,none,2025-03-12,https://doi.org/10.1016/j.ssmph.2025.101776,yes,gold,2352-8273,SSM - Population Health,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/31540,None,None,None
,first,none,2025-03-11,https://doi.org/10.1002/adsc.202500008,no,closed,1615-4150,Advanced Synthesis & Catalysis,Wiley,https://v2.sherpa.ac.uk/id/publication/1447,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0003-0063-3935,middle,none,2025-01-01,https://doi.org/10.1039/d5sc01857a,yes,diamond,2041-6520,Chemical Science,Royal Society of Chemistry,https://v2.sherpa.ac.uk/id/publication/18004,None,6619:fee_no:Academic Social Network must be signed up to STM sharing principles;,None
https://orcid.org/0000-0002-3882-000X,first,none,2025-04-25,https://doi.org/10.1242/jeb.250297,yes,hybrid,0022-0949,Journal of Experimental Biology,The Company of Biologists,https://v2.sherpa.ac.uk/id/publication/14671,7117:fee_no:Must link to publisher version;,None,3762:fee_no:Must link to publisher version;
https://orcid.org/0000-0002-4989-5058,middle,none,2025-04-24,https://doi.org/10.1136/thorax-2024-222098,no,closed,0040-6376,Thorax,BMJ,https://v2.sherpa.ac.uk/id/publication/1961,None,197:fee_no:Upon online publication Publisher copyright and source must be acknowledged Must link to published article with DOI Set statement to accompany deposit;10362:fee_no:Upon online publication Publisher source must be acknowledged with citation Must link to published article with DOI Set statement to accompany deposit;,11335:fee_yes:Published source must be acknowledged with citation Must link to publisher version;
https://orcid.org/0000-0003-3133-9763,last,none,2025-05-14,https://doi.org/10.1002/hrm.22314,yes,hybrid,0090-4848,Human Resource Management,Wiley,https://v2.sherpa.ac.uk/id/publication/14605,11212:fee_no:May not be updated with Publisher's Version/PDF Must acknowledge acceptance for publication Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,11213:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None
,middle,https://orcid.org/0000-0002-5955-1283,2024-07-04,https://doi.org/10.1038/s41467-024-49752-6,yes,gold,2041-1723,Nature Communications,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/24265,None,None,None
https://orcid.org/0000-0003-0925-611X,first,https://orcid.org/0000-0003-4671-7843,2024-07-30,https://doi.org/10.1038/s44159-024-00341-w,no,closed,2731-0574,Nature Reviews Psychology,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/46230,8170:fee_no:no conditions;,87:fee_no:Must link to publisher version Published source must be acknowledged and DOI cited Post-prints are subject to Springer Nature re-use terms;,None
https://orcid.org/0000-0001-8188-9769,middle,none,2024-09-25,https://doi.org/10.1126/sciadv.adm8241,yes,gold,2375-2548,Science Advances,American Association for the Advancement of Science,https://v2.sherpa.ac.uk/id/publication/29739,None,None,None
https://orcid.org/0000-0002-6591-6760,middle,none,2024-12-01,https://doi.org/10.1111/ele.14513,no,closed,1461-023X,Ecology Letters,Wiley,https://v2.sherpa.ac.uk/id/publication/6991,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-4989-5058,first,none,2025-01-01,https://doi.org/10.1016/j.jtho.2025.01.019,yes,hybrid,1556-0864,Journal of Thoracic Oncology,Elsevier BV,None,None,None,None
https://orcid.org/0000-0002-6000-9029,first,none,2025-05-23,https://doi.org/10.1177/00380261251335443,no,closed,0038-0261,The Sociological Review,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/16023,None,None,None
https://orcid.org/0000-0003-2626-1375,middle,none,2025-06-19,https://doi.org/10.1021/acs.joc.5c00819,no,closed,0022-3263,The Journal of Organic Chemistry,American Chemical Society,https://v2.sherpa.ac.uk/id/publication/7797,None,None,710:fee_yes:no conditions;
,first,https://orcid.org/0000-0001-5104-4968,2024-07-01,https://doi.org/10.1080/13504622.2024.2365395,no,closed,1350-4622,Environmental Education Research,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/5223,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
https://orcid.org/0000-0002-4989-5058,last,none,2024-08-03,https://doi.org/10.1016/j.jtho.2024.07.022,no,closed,1556-0864,Journal of Thoracic Oncology,Elsevier BV,None,None,None,None
https://orcid.org/0000-0002-2473-8646,middle,https://orcid.org/0000-0002-0457-6897,2024-08-10,https://doi.org/10.1177/14761270241274038,no,closed,1476-1270,Strategic Organization,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9492,None,None,None
https://orcid.org/0009-0003-2002-1706,first,none,2024-09-19,https://doi.org/10.1038/s41598-024-71634-6,yes,gold,2045-2322,Scientific Reports,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/24229,None,None,None
https://orcid.org/0009-0004-4322-9072,first,https://orcid.org/0000-0002-2239-0818,2025-01-03,https://doi.org/10.1002/ejoc.202401203,no,closed,1099-0690,European Journal of Organic Chemistry,Wiley,https://v2.sherpa.ac.uk/id/publication/1692,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-4989-5058,middle,https://orcid.org/0000-0002-2573-9683,2025-02-12,https://doi.org/10.1177/09622802241310326,yes,hybrid,0962-2802,Statistical Methods in Medical Research,SAGE Publishing,https://v2.sherpa.ac.uk/id/publication/9490,None,None,None
https://orcid.org/0000-0002-2678-2798,middle,none,2025-02-19,https://doi.org/10.1016/j.evalprogplan.2025.102559,yes,hybrid,0149-7189,Evaluation and Program Planning,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/16897,None,10970:fee_no:Must link to publisher version with DOI;,10972:fee_yes:Published source must be acknowledged with citation;10973:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-1633-9757,first,none,2025-03-01,https://doi.org/10.1016/j.jri.2025.104524,no,closed,0165-0378,Journal of Reproductive Immunology,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/14103,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0002-4214-8543,middle,none,2025-04-15,https://doi.org/10.1111/nyas.15331,no,closed,0077-8923,Annals of the New York Academy of Sciences,Wiley,https://v2.sherpa.ac.uk/id/publication/7600,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-2678-2798,first,none,2025-05-28,https://doi.org/10.3390/educsci15060665,yes,gold,2227-7102,Education Sciences,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/24796,None,None,None
,middle,none,2025-01-01,https://doi.org/10.1109/tim.2025.3599699,no,closed,0018-9456,IEEE Transactions on Instrumentation and Measurement,Institute of Electrical and Electronics Engineers,https://v2.sherpa.ac.uk/id/publication/3481,"11087:fee_no:Must be replaced with accepted version When submitted, set statement to accompany deposit (see policy) When accepted for publication, must either replace the submitted work with a full citation OR the accepted version with a DOI When accepted for publication, must be removed if not on the permitted locations for accepted article IEEE must be informed as to the electronic address of the pre-print Publisher copyright and source must be acknowledged;","11089:fee_no:When accepted for publication, set statement to accompany deposit (see policy) Must link to publisher version with DOI Publisher copyright and source must be acknowledged;11092:fee_no:Submissions should include the following text in the funding acknowledgement section of the manuscript and any cover note accompanying the submission: ""For the purpose of open access, the author(s) has applied a Creative Commons Attribution (CC BY) license to any Accepted Manuscript version arising.""' Publisher source must be acknowledged with citation;11093:fee_no:Publisher source must be acknowledged with citation;",None
https://orcid.org/0000-0003-1655-5935,last,https://orcid.org/0000-0002-7301-5700,2024-07-12,https://doi.org/10.1038/s41598-024-64313-z,yes,gold,2045-2322,Scientific Reports,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/24229,None,None,None
https://orcid.org/0000-0002-4989-5058,middle,none,2024-07-23,https://doi.org/10.1093/jnci/djae145,no,closed,0027-8874,JNCI Journal of the National Cancer Institute,Oxford University Press,https://v2.sherpa.ac.uk/id/publication/617,None,39:fee_no:Publisher source must be acknowledged with citation Must link to publisher version with DOI Set phrase to accompany archived copy;,None
,first,none,2024-08-01,https://doi.org/10.1186/s12859-024-05861-z,yes,gold,1471-2105,BMC Bioinformatics,BioMed Central,https://v2.sherpa.ac.uk/id/publication/2207,None,None,None
https://orcid.org/0000-0001-8925-9382,middle,none,2024-08-03,https://doi.org/10.1038/s42003-024-06624-5,yes,gold,2399-3642,Communications Biology,Nature Portfolio,https://v2.sherpa.ac.uk/id/publication/35127,None,None,None
https://orcid.org/0000-0003-3840-5639,first,none,2024-08-01,https://doi.org/10.14814/phy2.70001,yes,gold,2051-817X,Physiological Reports,Wiley,https://v2.sherpa.ac.uk/id/publication/27408,8051:fee_no:Publisher source must be acknowledged with citation Must link to published article with DOI;,None,None
https://orcid.org/0000-0002-6214-9260,middle,none,2024-09-09,https://doi.org/10.1021/jacs.4c06674,yes,hybrid,0002-7863,Journal of the American Chemical Society,American Chemical Society,https://v2.sherpa.ac.uk/id/publication/7788,None,None,4459:fee_yes:no conditions;10178:fee_yes:Publisher source must be acknowledged with citation;10180:fee_yes:Publisher source must be acknowledged with citation;
,middle,none,2024-09-19,https://doi.org/10.1113/jp286962,yes,hybrid,0022-3751,The Journal of Physiology,Wiley,https://v2.sherpa.ac.uk/id/publication/6978,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-6293-4197,first,https://orcid.org/0000-0002-6293-4197,2024-10-03,https://doi.org/10.2105/ajph.2024.307721,no,closed,0090-0036,American Journal of Public Health,American Public Health Association,https://v2.sherpa.ac.uk/id/publication/10303,None,None,4009:fee_yes:Published source must be acknowledged with citation Non-Commercial purposes;
https://orcid.org/0000-0002-3503-9533,middle,none,2024-12-10,https://doi.org/10.1007/s12630-024-02873-4,yes,hybrid,0832-610X,Canadian Journal of Anesthesia/Journal canadien d anesthésie,Springer Science+Business Media,https://v2.sherpa.ac.uk/id/publication/14831,None,140:fee_no:Published source must be acknowledged with citation Must link to publisher version with DOI Post-prints are subject to Springer Nature re-use terms Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0001-8933-6392,middle,none,2025-01-01,https://doi.org/10.1016/j.pld.2025.01.002,yes,diamond,2468-2659,Plant Diversity,Elsevier BV,None,None,None,None
https://orcid.org/0000-0001-5678-7234,last,https://orcid.org/0000-0003-1239-1937,2025-01-06,https://doi.org/10.1111/jgs.19337,yes,hybrid,0002-8614,Journal of the American Geriatrics Society,Wiley,https://v2.sherpa.ac.uk/id/publication/15161,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-6067-247X,middle,none,2025-01-14,https://doi.org/10.4088/pcc.24m03810,no,closed,2155-7780,The Primary Care Companion For CNS Disorders,,https://v2.sherpa.ac.uk/id/publication/15068,None,9729:fee_no:no conditions;,None
https://orcid.org/0000-0002-4472-4831,middle,,2025-01-14,https://doi.org/10.1002/rcm.9986,yes,hybrid,0951-4198,Rapid Communications in Mass Spectrometry,Wiley,https://v2.sherpa.ac.uk/id/publication/7560,11204:fee_no:Must acknowledge acceptance for publication May not be updated with Publisher's Version/PDF Publisher source must be acknowledged with citation Must link to publisher version with set statement (see policy);,None,None
https://orcid.org/0000-0002-3622-1548,middle,https://orcid.org/0000-0003-0231-3142,2025-01-15,https://doi.org/10.3390/rs17020289,yes,gold,2072-4292,Remote Sensing,Multidisciplinary Digital Publishing Institute,https://v2.sherpa.ac.uk/id/publication/13675,None,None,None
https://orcid.org/0000-0001-8768-5855,first,none,2025-01-01,https://doi.org/10.1098/rspa.2024.0082,no,closed,1364-5021,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,Royal Society,https://v2.sherpa.ac.uk/id/publication/11602,None,478:fee_no:Publisher source must be acknowledged with citation;,None
,first,none,2025-01-01,https://doi.org/10.1002/ecy.4525,yes,hybrid,0012-9658,Ecology,Wiley,https://v2.sherpa.ac.uk/id/publication/13292,None,None,None
https://orcid.org/0000-0002-8062-7123,middle,none,2025-01-23,https://doi.org/10.1108/ejm-12-2023-0911,no,closed,0309-0566,European Journal of Marketing,Emerald Publishing Limited,https://v2.sherpa.ac.uk/id/publication/189,53:fee_no:Academic Social Networks / Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Must not have its copyright assigned to pre-print server Must be updated with set statement once accepted Must inform editor of pre-print deposit Must link to publisher version with DOI when available Published source must be acknowledged with citation when available;,54:fee_no:Academic Social Network/ Scholarly Collaboration Networks that have signed up to the Voluntary STM Sharing Principles Deposit may occur upon publication Must link to publisher version with DOI Published source must be acknowledged with citation;,None
https://orcid.org/0000-0001-7217-3443,middle,none,2025-01-23,https://doi.org/10.1210/clinem/dgaf041,yes,hybrid,0021-972X,The Journal of Clinical Endocrinology & Metabolism,Oxford University Press,error,error,error,error
,first,none,2025-01-01,https://doi.org/10.1016/j.jbiomech.2025.112553,yes,hybrid,0021-9290,Journal of Biomechanics,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/13780,None,None,10952:fee_yes:Published source must be acknowledged with citation;10953:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-2112-3918,first,https://orcid.org/0000-0002-1577-2658,2025-01-24,https://doi.org/10.1096/fj.202402421r,yes,hybrid,0892-6638,The FASEB Journal,Wiley,https://v2.sherpa.ac.uk/id/publication/14441,None,None,None
https://orcid.org/0000-0003-3474-0843,middle,https://orcid.org/0000-0002-5301-7899,2025-01-27,https://doi.org/10.1021/acs.est.4c10360,no,closed,0013-936X,Environmental Science & Technology,American Chemical Society,https://v2.sherpa.ac.uk/id/publication/7774,None,None,710:fee_yes:no conditions;
,middle,none,2025-01-29,https://doi.org/10.1080/02791072.2025.2452226,no,closed,0279-1072,Journal of Psychoactive Drugs,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/18901,None,None,None
https://orcid.org/0000-0002-6352-8289,middle,none,2025-01-29,https://doi.org/10.1080/15290824.2024.2429504,no,closed,1529-0824,Journal of Dance Education,Taylor & Francis,https://v2.sherpa.ac.uk/id/publication/18889,None,52:fee_no:Published source must be acknowledged with citation Must link to publisher version Set statements to accompany deposits (see policy);,None
,first,none,2025-02-01,https://doi.org/10.1016/j.psychsport.2025.102820,no,closed,1878-5476,Psychology of sport and exercise,Elsevier BV,https://v2.sherpa.ac.uk/id/publication/16062,None,11179:fee_no:Must link to publisher version with DOI;11183:fee_no:Must link to publisher version with DOI;,11181:fee_yes:Published source must be acknowledged with citation;11182:fee_yes:Published source must be acknowledged with citation;
https://orcid.org/0000-0003-4935-5833,first,https://orcid.org/0000-0003-4935-5833,2025-01-01,https://doi.org/10.1123/jsm.2024-0199,no,closed,0888-4773,Journal of Sport Management,Human Kinetics,https://v2.sherpa.ac.uk/id/publication/12254,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
https://orcid.org/0000-0002-5547-2297,first,https://orcid.org/0000-0002-5547-2297,2025-01-01,https://doi.org/10.1123/ijsc.2024-0231,no,closed,1936-3907,International Journal of Sport Communication,Human Kinetics,https://v2.sherpa.ac.uk/id/publication/12247,None,3849:fee_no:Publisher copyright and source must be acknowledged Must link to publisher version with DOI Set statement to accompany deposit (see policy);,None
